,Code,Name,year2017,year2018
0,MOW,Москва,11979529,12108257
1,MOS,Московская область,7048084,7133620
2,KDA,Краснодарский край,5330181,5404273
3,SPE,Санкт-Петербург и Ленинградская область,5028000,5131942
4,SVE,Свердловская область,4315830,4320677
5,ROS,Ростовская область,4254613,4245532
6,BA,Республика Башкортостан,4060957,4069698
7,TA,Республика Татарстан,3822038,3838230
8,TYU,Тюменская область,3510683,3546345
9,CHE,Челябинская область,3485272,3490053
10,NIZ,Нижегородская область,3289841,3281496
11,SAM,Самарская область,3213289,3211187
12,DA,Республика Дагестан,2946035,2963918
13,KYA,Красноярский край,2846475,2852810
14,STA,Ставропольский край,2790785,2794508
15,KEM,Кемеровская область,2742450,2734075
16,NVS,Новосибирская область,2709461,2731176
17,PER,Пермский край,2634461,2636154
18,VGG,Волгоградская область,2583002,2569126
19,SAR,Волгоградская область,2503305,2496552
20,IRK,Иркутская область,2422026,2418348
21,ALT,Алтайский край,2398751,2390638
22,VOR,Воронежская область,2330377,2328959
23,ORE,Оренбургская область,2016086,2008566
24,OMS,Омская область,1973985,1973876
25,CRI,Крым,1956422,1958504
26,PRI,Приморский край,1947263,1938516
27,LEN,Санкт-Петербург и Ленинградская область,1751135,1763924
28,KHM,Ханты-Мансийский автономный округ - Югра,1584063,1597248
29,BEL,Белгородская область,1540985,1544108
30,TUL,Тульская область,1532436,1521497
31,UD,Удмуртская республика,1517692,1517050
32,VLA,Владимирская область,1421742,1413321
33,PNZ,Пензенская область,1368657,1360587
34,CE,Чеченская республика,1324767,1346438
35,KHA,Хабаровский край,1342083,1339912
36,TVE,Тверская область,1334061,1325249
37,KIR,Кировская область,1319076,1310929
38,YAR,Ярославская область,1271672,1271766
39,ULY,Ульяновская область,1274487,1267561
40,BRY,Брянская область,1253666,1242599
41,CU,Чувашская республика,1243431,1239984
42,VLG,Вологодская область,1196196,1193371
43,ARK,Архангельская область,1202295,1191785
44,LIP,Липецкая область,1162235,1159866
45,RYA,Рязанская область,1144650,1140844
46,KRS,Курская область,1119262,1118915
47,ZAB,Забайкальский край,1095169,1090344
48,TOM,Томская область,1064245,1070128
49,TAM,Тамбовская область,1075748,1068934
50,IVA,Ивановская область,1048961,1043130
51,AST,Астраханская область,1013840,1016516
52,KLU,Калужская область,1005585,1004544
53,BU,Республика Бурятия,971810,973860
54,SMO,Смоленская область,975188,967896
55,KGD,Калининградская область,954773,963128
56,SA,Республика Саха (Якутия),955580,954803
57,KGN,Курганская область,885759,877149
58,KO,Республика Коми,880639,872057
59,KB,Кабардино-Балкарская Республика,858946,858397
60,MO,Республика Мордовия,818566,812156
61,AMU,Амурская область,816910,811274
62,MUR,Мурманская область,780401,771058
63,ORL,Орловская область,775826,769980
64,SE,Республика Северная Осетия — Алания,706123,703977
65,ME,Республика Марий Эл,690349,688686
66,PSK,Псковская область,661507,656561
67,KOS,Костромская область,658906,656389
68,KR,Республика Карелия,636932,634402
69,NGR,Новгородская область,625855,622430
70,YAN,Ямало-Ненецкий автономный округ,541612,539671
71,KK,Республика Хакасия,533025,534079
72,SAK,Сахалинская область,493302,491027
73,KC,Республика Карачаево-Черкессия,471847,469837
74,IN,Республика Ингушетия,442255,453010
75,AD,Республика Адыгея,444403,446406
76,SEV,Севастополь,381474,383907
77,KAM,Камчатский край,320549,319864
78,TY,Республика Тыва,310460,311761
79,KL,Республика Калмыкия,284140,282021
80,AL,Республика Алтай,210344,211645
81,YEV,Еврейская автономная область,172671,170377
82,MAG,Магаданская область,152358,150312
83,CHU,Чукотский автономный округ,50780,50555
84,NEN,Ненецкий автономный округ,42789,43025
85,CENTR,Центральный федеральный округ,38678913,38819874
86,KRIM,Крымский федеральный округ,2337896,2342411
87,NORDKA,Северо-кавказский федеральный округ,9540758,9590085
88,NORDWE,Северо-восточный федеральный округ,13760522,13843683
89,OST,Дальневосточный федеральный округ,6251496,6226640
90,PRIVOL,Приволжский федеральный округ,29772235,29738836
91,SIB,Сибирский федеральный округ,19278201,19292740
92,SOUTH,Южный федеральный округ,13910179,13963874
93,URAL,Уральский федеральный округ,14323219,14371143
