,year2018,year2017,Name,Code
0,998.0,779.0,Москва,MOW
1,583.0,458.0,Санкт-Петербург и Ленинградская область,SPE
2,583.0,458.0,Санкт-Петербург и Ленинградская область,LEN
3,0.0,0.0,Республика Адыгея,AD
4,1.0,0.0,Республика Алтай,AL
5,2.0,2.0,Республика Бурятия,BU
6,3.0,5.0,Республика Дагестан,DA
7,0.0,0.0,Кабардино-Балкарская Республика,KB
8,0.0,0.0,Республика Калмыкия,KL
9,0.0,0.0,Республика Карачаево-Черкессия,KC
10,1.0,0.0,Республика Карелия,KR
11,1.0,5.0,Республика Коми,KO
12,1.0,1.0,Республика Марий Эл,ME
13,0.0,0.0,Республика Мордовия,MO
14,0.0,3.0,Республика Саха (Якутия),SA
15,0.0,3.0,Республика Северная Осетия — Алания,SE
16,3.0,5.0,Республика Татарстан,TA
17,0.0,0.0,Республика Тыва,TY
18,0.0,1.0,Удмуртская республика,UD
19,0.0,1.0,Республика Хакасия,KK
20,1.0,0.0,Чеченская республика,CE
21,1.0,3.0,Чувашская республика,CU
22,1.0,1.0,Алтайский край,ALT
23,1.0,1.0,Забайкальский край,ZAB
24,0.0,0.0,Камчатский край,KAM
25,3.0,1.0,Краснодарский край,KDA
26,2.0,1.0,Красноярский край,KYA
27,3.0,5.0,Пермский край,PER
28,0.0,0.0,Приморский край,PRI
29,3.0,1.0,Ставропольский край,STA
30,1.0,0.0,Хабаровский край,KHA
31,0.0,1.0,Амурская область,AMU
32,1.0,2.0,Архангельская область,ARK
33,1.0,3.0,Астраханская область,AST
34,0.0,3.0,Белгородская область,BEL
35,0.0,0.0,Брянская область,BRY
36,1.0,1.0,Владимирская область,VLA
37,0.0,0.0,Волгоградская область,VGG
38,0.0,0.0,Волгоградская область,SAR
39,0.0,0.0,Вологодская область,VLG
40,2.0,5.0,Воронежская область,VOR
41,2.0,1.0,Ивановская область,IVA
42,0.0,1.0,Иркутская область,IRK
43,0.0,1.0,Калининградская область,KGD
44,2.0,4.0,Калужская область,KLU
45,0.0,0.0,Кемеровская область,KEM
46,0.0,0.0,Кировская область,KIR
47,2.0,1.0,Костромская область,KOS
48,0.0,1.0,Курганская область,KGN
49,0.0,2.0,Курская область,KRS
50,0.0,0.0,Липецкая область,LIP
51,0.0,0.0,Магаданская область,MAG
52,554.0,412.0,Московская область,MOS
53,1.0,1.0,Мурманская область,MUR
54,1.0,1.0,Нижегородская область,NIZ
55,0.0,0.0,Новгородская область,NGR
56,1.0,1.0,Новосибирская область,NVS
57,0.0,0.0,Омская область,OMS
58,1.0,0.0,Оренбургская область,ORE
59,0.0,1.0,Орловская область,ORL
60,0.0,2.0,Пензенская область,PNZ
61,0.0,0.0,Псковская область,PSK
62,3.0,2.0,Ростовская область,ROS
63,2.0,0.0,Рязанская область,RYA
64,1.0,4.0,Самарская область,SAM
65,0.0,4.0,Сахалинская область,SAK
66,1.0,2.0,Свердловская область,SVE
67,0.0,3.0,Смоленская область,SMO
68,2.0,3.0,Тамбовская область,TAM
69,1.0,2.0,Тверская область,TVE
70,0.0,2.0,Томская область,TOM
71,1.0,2.0,Тульская область,TUL
72,0.0,0.0,Тюменская область,TYU
73,1.0,0.0,Ульяновская область,ULY
74,0.0,4.0,Челябинская область,CHE
75,2.0,1.0,Ярославская область,YAR
76,0.0,0.0,Севастополь,SEV
77,0.0,0.0,Еврейская автономная область,YEV
78,0.0,0.0,Ненецкий автономный округ,NEN
79,0.0,2.0,Ханты-Мансийский автономный округ - Югра,KHM
80,0.0,0.0,Чукотский автономный округ,CHU
81,0.0,0.0,Ямало-Ненецкий автономный округ,YAN
